ltable_id,rtable_id,label
25866919,17517797,1
22819422,62294232,1
20467137,40658212,1
22992322,25011125,1
37287476,36900730,1
34532774,51726938,1
36288245,89959697,1
44852039,71147841,1
40160836,39250533,1
51984550,57937744,1
39350581,66705685,1
35213351,90071261,1
97711225,74702654,1
35431801,45291729,1
68731207,91650188,1
80250895,25446597,1
62911,42404872,1
37122066,42981396,1
370268,7250514,1
78989521,66051813,1
85241565,86917365,1
56234120,96716900,1
41867761,52446350,1
6690435,84855664,1
65931181,72667296,1
85542042,59075657,1
49443301,69611430,1
94368030,51543842,1
4254500,52019173,1
93532842,77308213,1
26871941,4653122,1
83381137,45719431,1
58640870,68725256,1
39463606,71116679,1
97937089,88874092,1
69331499,79589897,1
32188644,94511792,1
32682669,23084884,1
7250514,45256979,1
62648299,37915790,1
58621168,53570958,1
64692162,97288853,1
23620990,37084990,1
40978236,39172032,1
26466300,30869320,1
20596445,9390933,1
75419452,88569688,1
36439966,77008042,1
22887580,33701626,1
62191549,47336087,1
2798076,89973207,1
91650188,64323838,1
14120468,51672417,1
75383195,52438492,1
70197976,25282467,1
27426123,66814149,1
14608550,30011491,1
28608094,35165067,1
15223473,73823909,1
50183657,50657212,1
21599943,19301010,1
26095201,69912633,1
72004049,66718913,1
12407223,66760494,1
53833203,62662513,1
98056386,64714684,1
29434895,55853667,1
41462410,70894718,1
49652516,61115102,1
34387261,34001198,1
9564204,35547549,1
54922099,83027890,1
34387261,70082735,1
90821646,46652889,1
45727120,95745817,1
54689761,75128379,1
57763796,94414976,1
12706433,37007640,1
80768725,51823526,1
95538474,68927016,1
85042149,48049039,1
25266215,30869320,1
96374921,73810179,1
3103984,95960852,1
30847749,52323484,1
80714779,97563189,1
25349351,55665914,1
56278238,55675271,1
45993118,60305865,1
45511817,92299108,1
48678537,7083119,1
86941968,38017439,1
4991565,58326251,1
35054007,64440922,1
45831360,79613309,1
67675959,30539466,1
42506221,59928566,1
55307387,88549840,1
75318821,55982328,1
61959536,92647013,1
38674629,75223780,1
73459517,60679295,1
68696736,28927993,1
85304830,18854966,1
17124871,95251640,1
64603834,95041002,1
33633736,64607522,1
9564204,19082435,1
25349351,74124966,1
52851091,62422382,1
92944350,12407223,1
66468324,67371758,1
24693281,30429353,1
10524933,47444077,1
61649172,43851871,1
24415437,66191134,1
57023339,96999491,1
2101868,70863968,1
77470441,45965279,1
66083674,84071723,1
17557758,23373474,1
7250514,18755950,1
71406090,77398411,1
35884378,52672692,1
83579294,41132356,1
52012211,70981106,1
1613425,82447200,1
91573353,40610417,1
42128318,60447783,1
19499488,77595897,1
27946151,25511984,1
53570958,45001854,1
43904710,92996051,1
66076016,56234120,1
38413725,90718213,1
88065997,65533380,1
73823909,24268406,1
35151415,34887025,1
49389500,50547964,1
29412990,6798938,1
52200023,64383564,1
69838310,73092958,1
45049276,69711479,1
33970939,50944416,1
74514500,18246146,1
49420850,59382677,1
62648299,96999491,1
40059942,77743117,1
17955435,40988189,1
43328662,51140258,1
98808067,34081588,1
57426892,98442589,1
26466300,95623366,1
41704902,17553753,1
10484796,31525711,1
39003028,76169214,1
34998581,67780963,1
52024027,53079510,1
35151415,93532842,1
48190320,75447718,1
28948362,75133459,1
28224541,73925902,1
22926196,48818759,1
29204789,78241304,1
60378728,54922099,1
32132138,64773733,1
29412990,48440405,1
32397021,34996246,1
52031548,98547332,1
11098395,44870108,1
51092806,52440335,1
66053411,97873950,1
14006215,21249557,1
50129119,38674629,1
69821747,93246129,1
93648382,69120468,1
51670299,77427895,1
37801039,38083813,1
45256979,9937440,1
74439167,90167645,1
22034280,57189752,1
27286069,48541191,1
24693281,59100632,1
42424469,4991565,1
84981584,57971400,1
43443246,60121656,1
663005,56275224,1
93978472,56379271,1
52590809,69927371,1
66123367,31585097,1
40774974,64159490,1
66564908,84977888,1
52425202,56379271,1
32343306,66752971,1
65813186,88215321,1
4991565,74613707,1
61258448,29228441,1
48658824,77189808,1
89896876,64773733,1
38404089,71389798,1
8289216,50809231,1
1887783,21078486,1
69331499,49967223,1
21078486,79108432,1
7664879,16972715,1
8281130,13760497,1
43570042,82477177,1
60527373,81497694,1
2284449,58763783,1
55982328,71116679,1
18960736,43446987,1
43718685,46104758,1
34887025,32798362,1
92647013,52109003,1
10023784,47253893,1
95708516,77743117,1
66814546,57129676,1
76928307,40059942,1
92823416,75447635,1
43006963,82270293,1
42796738,22665123,1
33538650,57619335,1
21270295,47889081,1
92199912,75740074,1
91472204,23757092,1
69863476,76958863,1
889880,20061554,1
6800809,58599683,1
37707111,81014895,1
72894094,75622670,1
18587726,75447635,1
12450038,19301010,1
51949387,95251640,1
97562809,97873950,1
49684971,83865712,1
46613388,88209597,1
34934382,1778391,1
66982137,75824860,1
17562112,79252396,1
19898767,85394877,1
34000213,53058929,1
53355009,62058424,1
89973207,65392801,1
50323139,56768821,1
50926478,52304649,1
29965851,35845201,1
23256830,12103618,1
3079056,83187166,1
86917365,49536402,1
66649332,67035709,1
59852743,61081823,1
96716900,2580274,1
69506032,74918675,1
31640964,74483795,1
35610900,24345418,1
19089912,36875298,1
61081823,80540087,1
62294232,96974192,1
53086722,24414199,1
46652889,6214990,1
75684453,18854966,1
4544706,69206944,1
43763158,60733486,1
55624269,61649172,1
45792041,2353834,1
53177791,51210646,1
50502911,64941287,1
51785841,85554698,1
45261819,60389545,1
18854966,65983637,1
37530368,58772012,1
67897793,86961593,1
61959536,52109003,1
24009019,71105677,1
69894852,52101570,1
44420446,44690743,1
65414283,69414172,1
51078796,78581517,1
14196184,15729262,1
79069245,35536212,1
74610695,98204010,1
39990303,30914886,1
29744880,78766806,1
21249557,67897793,1
32188644,59598011,1
34826703,45511817,1
1887783,93998038,1
73353855,62936992,1
11543754,22034280,1
67016602,69711479,1
25304065,41839134,1
41092882,89462225,1
91698192,85463636,1
22819422,77470441,1
73810179,35857792,1
37086576,19301010,1
27946151,44483408,1
41132356,34934382,1
66684435,98273310,1
66684435,75684453,1
25782210,22122745,1
42895870,73545745,1
41184909,42916115,1
33783807,54333496,1
17869090,83152759,1
50564353,69243833,1
96573605,45727120,1
73335794,87622461,1
26725937,37958871,1
22074403,92872793,1
50183657,65327827,1
45277958,31826558,1
34638630,69821747,1
68935383,37325141,1
85304830,11619753,1
24924728,19143488,1
88590575,73824521,1
90949523,36811471,1
24423057,24216669,1
58752398,49415669,1
8587141,58057278,1
17557758,29916446,1
37892018,80450571,1
39203102,62293619,1
28927993,34762269,1
7351682,61009090,1
90718213,73999754,1
48307629,74298756,1
58962954,41782299,1
14691276,30719223,1
75824860,63024495,1
25239030,49832619,1
57404510,91241309,1
90036333,71490927,1
82843231,86330013,1
44051779,60583235,1
30719223,51210646,1
65306765,67086788,1
54181907,89090467,1
38564743,39481203,1
55083667,65894559,1
58326251,55343673,1
43091056,85687359,1
69711479,75910055,1
32780854,58970863,1
98273310,85304830,1
80310375,63989540,1
41485546,93719349,1
96093457,66447084,1
45503604,66447084,1
7083119,22804415,1
72379446,53299737,1
95041002,17124871,1
38229432,48190320,1
12575085,21599943,1
31490474,47948274,1
59376223,1887783,1
38118876,5628683,1
69905210,73812685,1
33998454,67832027,1
7664879,36136163,1
66760494,33767038,1
55471505,22650533,1
17901460,44448010,1
45282536,58580596,1
70331081,37710503,1
51570027,87747626,1
55918296,56634824,1
44683999,85687359,1
52265517,67274293,1
42663606,98589216,1
48190320,53540419,1
67016602,68374652,1
701545,7580176,1
52433173,64729661,1
64714684,67059288,1
52332060,74276973,1
72470859,88216489,1
85344876,46707617,1
45792041,83075662,1
47072548,44870108,1
85198394,5366972,1
75724668,96582714,1
82795747,71389798,1
28955437,36761895,1
87135655,88645853,1
39460007,65894559,1
41485546,63713898,1
72145468,51590645,1
44736122,44570489,1
49067884,62318417,1
7906126,28891661,1
42890409,70601468,1
26937308,53381871,1
16131369,51739077,1
82628958,55104249,1
47253893,23358418,1
457467,19093528,1
19391710,58526124,1
63687251,74927976,1
51652697,60799591,1
71159598,77308213,1
24345418,56417965,1
23447542,24092458,1
47446012,62145678,1
27908001,98669404,1
65414283,95267942,1
36084372,40741504,1
15415378,16482355,1
87949415,97656808,1
39924028,43443246,1
