id,brand,title,description,price,pricecurrency,spectablecontent,cluster_id
17517797,,Jabra Evolve 75 UC Stereo Headset | 7599-838-199,"Jabra Evolve 75 UC Stereo Headset: MSRP $346.00. Call for pricing. Compatible with PC's, Bluetooth tablets and mobile phones Active Noice Cancellation (ANC) helps you hear better Professional wireless headset with dual connectivity Being mobile willimprove your efficiency on every call Amazing music listening experience with HiFi stereo sound Up to 100 feet of Bluetooth wireless range Get up to 18 hours of talk time on a single charge Integrated busy light reduces co-worker interruptions Includes charging stand for ease of charging*Get $20-40/unit for Trade-Ins Through December 30, 2020*",346.00,USD,,66969
62294232,Sony,Sony WH-1000XM3 Wireless Noise Cancelling Headphones,,599.95,AUD,,770534
40658212,,CORSAIR CARBIDE SPEC-01 Mid-Tower Gaming Case with Red LED Fan | CC-9011050-WW,"ATX Mid Tower1 x USB 2.0 / 1 x USB 3.0 / 1 x Headphone Port / 1 x Microphone Port Front Ports2 External 5.25\"" Drive Bays4 x Combo 3.5\"" / 2.5\"" Internal 3.5\"" Drive Bays",220.00,AED,,195552
25011125,,Hikvision DVR 16 CH fino a 8Mpx Turbo 3.0 DS-7216HUHI-K2,Hikvision DVR 16 CH fino a 8Mpx Turbo 3.0 DS-7216HUHI-K2,3.726E2,EUR,,1336313
36900730,D'Addario,D'addario NYXL0942 Nickel Guitar Strings Super Light 9-42,,£12.99,,,633686
51726938,Ubiquiti,Ubiquiti UniFi AC In-Wall 5-pack (UAP-AC-IW-5),"UniFi AC In-Wall 5 pack, UBIQUITI",404.0600,USD,,1610496
89959697,RAM Mounts,"RAP-B-400U - RAM Small Tough-Claw™ with 1\"" Diameter Rubber Ball",,,,,290892
71147841,Epson,Epson S051160 Mavi Toner - 6000 Sayfa,,1647.09,TRY,,422423
39250533,,GoPro Dual Battery Charger + Akumulator do Max,,299,PLN,,4684156
57937744,,Fujifilm Instax Mini Mono Black & White (10 sheets) Film,"Fujifilm instax mini film is for all instax mini cameras and comes in a handy cartridge. It offers stunning instant pictures that you can fit into a purse, wallet or mini photo frame. instax film ensures sharp, clear reproduction, vivid color and natural skin tones.",1.295E1,EUR,,165928
66705685,,"iiyama G-MASTER G2730HSU-B1 LED display 68.6 cm (27\"") 1920 x 1080 pixels Full HD Black","iiyama G-MASTER G2730HSU-B1. Display diagonal: 68.6 cm (27\""), Display resolution: 1920 x 1080 pixels, HD type: Full HD, Display technology: LED. Display: LED. Display surface: Matt, Response time: 1 ms, Native aspect ratio: 16:9, Viewing angle, horizontal: 170°, Viewing angle, vertical: 160°. Built-in speaker(s). Built-in USB hub, USB hub version: 2.0. VESA mounting. Product colour: Black",9999999,GBP,,1148274
90071261,,CISCO - CATALYST 3850 48 PORT FULL POE LAN BASE EN,CISCO CATALYST 3850 48 PORT FULL POE LAN BASE EN (WS-C3850-48F-L) - Produkt: Administrerad - Portar: 48 - Hastighet: 1Gbps,128969.00,SEK,,10049
74702654,,Intel Core i9 9th Gen 9900 3.10 GHZ,Intel Core i9 9th Gen 9900 3.10 GHZ; Turbo @ 5.0GHZ; 8 Core; 16 Thread; 16MB Smartcache; 65W TDP; LGA 1151 BX80684I99900S RG18,8208.00,ZAR,,248547
45291729,,Corsair Hydro H55 CPU Liquid Cooler Intel 1151/2066 AMD AM3/AM2,Corsair Hydro H55 CPU Liquid Cooler Intel 1151/2066 AMD AM3/AM2,79.9,EUR,,1679067
91650188,Kingston,KINGSTON 8GB 1600MHz DDR3 CL10 DIMM (Kit of 2) HyperX Fury Black Series,,46.68,EUR,,702149
25446597,RAM Mounts,"RAM-B-201U-C - RAM Long Double Socket Arm for 1\"" Ball Bases - Overall Length: 6\""",,,,,1366684
42404872,,SanDisk 128GB Extreme PRO CompactFlash Memory Card,Professional-Grade Performance,126.00,GBP,,1369273
42981396,,D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings,"D'Addario's most popular acoustic set, EJ16 delivers the ideal balance of volume, projection and comfortable playability.Phosphor Bronze was introduced to string making by D'Addario in 1974 and has become synonymous with warm, bright, and well balanced acoustic tone. D'Addario Phosphor Bronze strings are precision wound with corrosion resistant phosphor bronze onto a carefully drawn, hexagonally shaped, high carbon steel core. The result is long lasting, bright sounding tone with excellent intonation.D'Addario's most popular acoustic guitar string set, known for its superb, long-lasting tone and comfortable playabilityPreferred for its warm, bright, and well balanced acoustic toneEnvironmentally friendly, corrosion resistant packaging for strings that are always freshMade in the U.S.A. for the highest quality and performanceString Gauges: Plain Steel .012, .016, Phosphor Bronze Wound .024, .032, .042, .053",9.20,CAD,,1297798
7250514,Kingston,KINGSTON 8GB 1600MHz DDR3 CL10 DIMM HyperX Fury Black Series,,41.41,EUR,,1012076
66051813,,"Jabra BIZ„˘ 2400 II DuoNEXT GENERATION - IP Wideband-Headset (QD) Type: 82 E-STD, Noice-Cancelling microphone boom: FreeSpin","BIZ 2400 II QD Duo NC WideBand, USB",128.15,USD,,472648
86917365,,"Western Digital SSD 2,5"" 1TB Blue 3D NAND",,167.80,,,549556
96716900,,Crucial 4GB DDR3L 1600MHz SO-DIMM Single Rank,"There's an easy cure for a slow computer: more memory.Designed to help your system run faster and smoother, Crucial Laptop Memory is one of the easiest and most affordable ways to improve your system's performance. Load programs faster. Increase responsiveness. Run data-intensive applications with ease, and increase your laptop's multitasking capabilities.Product Highlights1600MHz DDR3 SDRAMCAS Latency: CL11UDIMM 204 pin Form FactorVoltage: 1.35V/1.5VLimited Lifetime Warranty",499.00,ZAR,,2397859
52446350,Manfrotto,"Manfrotto tripod kit Befree Advanced MKBFRTA4BK-BH, black","Manfrotto Befree Advanced Twist aluminium travel tripod and ball head kit is the ideal solution for advanced hobbyist photographers who always want maximum performance, including when they’re travelling.Its ergonomic design makes operating the Manfrotto Befree advanced intuitive and fast, enabling even the most demanding photographers to set their equipment up quickly and easily so their focus stays on catching the desired shot.Befree advanced features a new spider developed to ensure perfect stability on all types of terrain, including the most uneven, always keeping the camera completely steady and ready to capture sharp images.This model introduces a new locking system called the M-lock, the new twist lock developed by Manfrotto to fully satisfy everyone looking for a fast, easy to use, compact solution. Moreover, the M-Lock has no protruding parts and its mechanism closes perfectly around the head, enabling the Befree advanced can slip into and out of its storage pocket effortlessly. Its ergonomic leg-angle selector is designed to be used by both right and left-handed photographers, enabling everyone to change shooting perspectives intuitively and to find the right tripod height without losing focus on the shot they want. The Befree advanced can easily be set to three independent leg angle positions, guaranteeing full shooting versatility for all the creative ideas that can emerge outdoors.The spider featured on this innovative model also provides the Easy Link, just like Manfrotto’s professional 190 & 055 tripods, allowing photographers to enhance their creativity by adding accessories that make their images unique and unforgettable. If you like adding lights or reflectors, you can now capture amazing outdoor shots that were previously only achievable with heavy accessorized tripods.The tripod is kitted out with Manfrotto Advanced 494 aluminium Center ball head, a small but powerful and intuitive head that allows quick and precise camera movement. The 494 Center ball head features three independent controls: a main knob for managing the sphere lock, an integrated friction control knob that adjusts the ball tension so that equipment weight is always perfectly balanced and shots framed effortlessly; an independent panoramic knob that keeps the horizon flat and moves the camera horizontally, enabling astonishing landscape shots.The head mounts a unique plate that makes it fully compatible with the world’s most widespread standard head attachments: Manfrotto RC2 and Arca-swiss style. With this aluminium plate fixed to the camera, all Manfrotto heads and almost all tripod heads on the market featuring Arca-swiss style attachments can be set up rapidly and effortlessly, with no need for disassembly components.Befree advanced is the best travel tripod for passionate photographers who want maximum performance, even when they’re travelling. This lightweight travel tripod is the optimal combination of portability, solidity, easy set-up and operation. It is built with the unique goal of enabling individuals to express their nature using their camera with the confidence of being supported by a professional solution. The Befree advanced Aluminium Travel Tripod Twist, ball head kit is available in black, red and blue.",179.00,EUR,,943488
84855664,,Pokémon: Sword & Shield 3 - Darkness Ablaze Elite Trainer Box,,1075.00,CZK,,2619685
72667296,Ubiquiti Networks (UBNT),Ubiquiti UniFi 4K Video Camera G4 Pro,"Ubiquiti UniFi 4K Video Camera G4 Pro (3x Powered Optical Zoom, 24FPS, 4K2K Resolution)",568.28,GBP,,788533
59075657,,DJI Zenmuse X7 Camera and Gimbal without Lens,,3109.00,USD,,715306
69611430,,ZOTAC GAMING GeForce GTX 1660Ti Twin Fan,ZOTAC GAMING GeForce GTX 1660Ti Twin Fan,298.75,EUR,,3492668
51543842,,Intel Core i9 9900K 3.6 GHz 8 Core Processor,"Intel Coffee Lake, i9 9900K, Socket LGA 1151, 3.6GHz",399.99,GBP,,266916
52019173,Park Tool,Park Tool HXS-1.2 Hex Set,"8-pc set: 2,2.5,3,4,5,6,8,10mm (PK-4213 includes bench/wall-mount)Shop-quality L-shaped full metal hex wrench setMade from Bondhus Protanium high torque steelBondhus balldriver long-end for 25 degree angle (2-8mm)",$23.95,USD,,429017
77308213,ASUS,ASUS PRIME X570-PRO (AM4) (D) (90MB11B0-M0EAY0),,87700,,,2848082
4653122,,"3M - Gold Privacy Filter 13.3\"" 16:9","3M Gold Privacy Filter 13.3\"" 16:9 (GF133W9B) - Type: Annet Tilbehør",772.50,NOK,,3468373
45719431,,"D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Phosphor Bronze was introduced to string making byD’Addario in 1974 and has become synonymous with warm,bright, and well balanced acoustic tone. They are precisionwound with corrosion resistant phosphor bronze onto acarefully drawn, hexagonally shaped, high carbon steelcore, resulting in long lasting, bright sounding tone withexcellent intonation.D'Addario's most popular acoustic set, EJ16 delivers the ideal balance of volume, projection and comfortable playability.",6.99,USD,,1297798
68725256,,Canon PGI29LGY Light Grey Ink (Pro One Series),"The specially formulated LUCIA PGI-29 Ink produces professional quality photo prints and superior longevity, perfect for displaying your printed works of art. Canon's proprietary FINE (Full Photolithographic Inkjet Nozzle Engineering) technology delivers exceptional sharpness and detail. For the best printing results, always use genuine Canon ink and photo paper. Plus, Canon's individual ink system can help increase efficiency by reducing waste and saving you money since you'll only be replacing the color that runs out.",45.95,AUD,,1545110
