id,brand,title,description,price,pricecurrency,specTableContent,cluster_id
47138182,Johnnie Walker,Johnnie Walker Red Label 1 Liter 40%vol.,,17.95,EUR,,1567291
30599346,Zebra,Zebra ZXP 8/9 Laminat Bottom Full Clear 800084-918,"ZXP Series 8 Laminat i Series 0,0254 mm625 Kartenseiten, Bottom, Full Clear",49.20,EUR,,6811181
30783506,,RAM EXTRA BALL UNIVERSAL CLAMP,"The RAP-B-121BBU connects to RAP-B-121 mounts; it is used as an extra ball to mount an additional device to your current mount.SpecificationsMaterial:Powder Coated Marine Grade AluminiumBall:B size 1\"" rubberAccessoriesCompatibilityRelated ItemsNotesThe \""U\"" in the part number reflects product packaged in poly bag.InstructionsVideosWarranty RAM Warranty",1.495E1,AUD,,70585326
90307161,SanDisk,"SanDisk Extreme microSD Card (160MB/S Read, 90MB/S Write) - 400GB","SanDisk Extreme microSDXC UHS-I Memory CardGet extreme speeds for fast transfer, app performance, and 4K UHD [3]. Ideal for your Android smartphone, action cameras or drones, this high-performance microSDXC card does 4K UHD video recording, Full HD video and high-resolution photos. The super-fast SanDisk Extreme microSDXC memory card reads up to 160MB/s and writes up to 90MB/s [1]. Plus, it’s A2-rated, so you can get fast application performance for an exceptional smartphone experience [2].",1.0995E2,GBP,,828221
77899371,Shimano,Shimano RD-5701 105 10 Speed Rear Derailleur,"The Shimano RD-57010105 10 Speed Rear Derailleur Max 32T with Double Crankset feature an advanced wide link design to increase ridgity for super fast, light and accurate shifting.For our full range of Components visit Evans Cycles",£50.00,GBP,,1428911
51823526,,"SanDisk USB 3.0 Flash Drive Ultra Flair 32 GB Black, Silver","In a working environment, it can be time consuming to transfer files from one device to another. With the SanDisk Ultra Flair USB flash drive, save yourself valuable time with less waiting to transfer files. Enjoy the high-speed USB 3.0 performance of up to 150MB/s1, making for a more efficient working pace.This flash drive is the perfect place for storing your favourite media and important documents, such as presentations, high-resolution photos, MP3 and graphic files. Its compact design means you can store it neatly in a multitude of places, and the metal case ensures its durability, making it a great companion for when you are working on the go. The password protection feature with the SanDisk SecureAccess software improves the security of your digital documents.",10.03,EUR,,292826
24815250,,Audemars Piguet Royal Oak 18K Yellow Gold &amp; Diamonds Ladies Watch,"15451BA.ZZ.1256BA.01 Audemars PiguetThis ladies watch has 37 mm 18K yellow gold case with diamonds. Diamond bezel. Blue dial with “Grande Tapisserie” pattern, yellow gold applied hour-markers and Royal Oak hands with luminescent coating. 18K yellow gold bracelet with AP folding clasp. Setting 40 brilliant-cut diamonds, ~0.92 carats(bezel). Power reserve 60 h. Function: hours, minutes, and date. Water resistance 50 m/ 165ft. 15451BA.ZZ.1256BA.01 Audemars Piguet18K Yellow Gold &amp; Diamonds Watch",46360,USD,,7684323
18102258,Canon,"Canon PFI-701R 0906B001 0906B001AA Ink Cartridge - Red, OEM (0906B001)","The Canon 0906B001 Ink Cartridge Red, OEM Canon 0906B001 is manufactured to the highest quality and level of precision. The Canon 0906B001 is ideal for providing the best print quality.SpecificationsManufacturer Part Number: 0906B001 Manufacturer: Canon Condition: New OEM Type: Ink Cartridge Color: Red Page Yield:  up to 3,000 page yield based on 5% page coverage Quantity: 1 CompatibilityCanon - ImagePROGRAF seriesImagePROGRAF iPF8000, ImagePROGRAF iPF8100, ImagePROGRAF iPF9000, ImagePROGRAF iPF9100",348.87,USD,,72546639
51910348,Garmin,Garmin Blue Black Band 920XT (010-11251-41),"Keep your training on track and be stylish and comfortable with these colored, adjustable bands for your Forerunner 920XT.Bands come with spare pins, 2 screwdrivers for pin removal and instructions.This is the blue and black version.",25.00,AUD,,4184090
59769828,,Super Ubiquinol CoQ10 with BioPQQ (30 Softgels),"Life Extension continues to develop increasingly potent mitochondria-boosting formulations.The new Super Ubiquinol CoQ10 with BioPQQ® contains shilajit (which studies have shown doubles CoQ10 levels in the mitochondria) plus the breakthrough compound PQQ(shown to support the spontaneous generation of new mitochondriain aging cells). This represents a three-way strategy for enhanced mitochondrial support.Super Ubiquinol CoQ10CoQ10 is required to convert the energy from fats and sugars you eat into usable cellular energy. More people are supplementing with CoQ10 than ever before. A key reason is increased awareness that the body’s production of CoQ10 declines significantly with advancing age.5Statin drugs also deplete CoQ10 levels in the blood, and possibly, tissues. For example, statin drugs reduce plasma CoQ10 by almost 40%—but the aging process itself reduces CoQ10 levels in the heart muscle wall by 72%.Studies show that absorption of the ubiquinol form of CoQ10 is far greater than the conventional ubiquinone form. In middle-aged mice, ubiquinolwas shown to be 40% more effective in slowing measurements of aging, compared to ubiquinone.Life Extension offers this highly bioavailable ubiquinol form of patented CoQ10 in an advanced delivery system, providing an unparalleled absorption level.Enhanced Support with ShilajitPrimaVie shilajithas been shown to doublelevels of CoQ10 in mitochondria.Combining CoQ10 and shilajit produced a 56% increase in energy production in the brain—40% betterthan CoQ10 alone. And in muscle, there was a 144% increasein energy production—27% better than CoQ10 alone.Shilajit boosts CoQ10’s beneficial effects by stabilizing CoQ10 in the superior ubiquinol form.Additionally, shilajit facilitates more efficient delivery of CoQ10 into the mitochondria, which results in greater cellular energy production.Shilajit itself is rich in essential compounds that help the mitochondria convert fats and sugars into ATP (adenosine triphosphate), the body’s main source of energy.PQQ Promotes Growth of New MitochondriaUntil recently, the only options for aging individuals to promote replenishment of the declining numbers of mitochondria in their bodies were long-term calorie restriction or exhaustive physical activity—difficult or impractical for most aging people. Now PQQoffers a viable alternative: PQQ(pyrroloquinoline quinone) promotes spontaneous production of new mitochondria.In fact, PQQ promotes youthful cellular function in three distinct ways:Promotes mitochondrial biogenesis.PQQ activates genes that promote the formation of fresh mitochondria.It also beneficially interacts with genes directly involved in mitochondrial health. These same genes support healthy body weight, normal fat and sugar metabolism and youthful cellular proliferation.Mitochondrial defense.Mitochondria possess their own DNA, distinct from those contained in the cell nucleus. Unfortunately, compared to nuclear DNA, mitochondrial DNA are relatively unprotected—and yet situated at the source of both energy and free-radical production. PQQ’s antioxidant potency and favorable gene-expression profile powerfully boost mitochondrial defense.Antioxidant power. PQQ is a potent antioxidant. Its extraordinary molecular stability enables it to facilitate thousands of antioxidant reactions in the mitochondria—without breaking down—for maximum antioxidant and bioenergetic support.PQQ is an essential nutrient, meaning that your body cannot make it on its own. A wealth of research demonstrates that—alone and especially in combination with CoQ10—its unique nutritional profile supports heart health and brain function.This should be no surprise, given how much energy these vital organs need.Life Extension has identified a purified, highly potent form of PQQ from Japan that is produced through a unique fermentation process. The result is some of the highest quality PQQ available today.Serving Size:1 Softgel Servings per Container:30Amount per Serving:Ubiquinol (as Kaneka QH Ubiquinol)100 mgPrimaVie Shilajit fulvic acid complex100 mgBioPQQ Pyrroloquinoline quinone disodium salt10 mgOther Ingredients:Medium chain triglycerides oil, gelatin, glycerin, purified water, sunflower lecithin, annatto color, beeswax, rosemary extract.",3.75E1,USD,,2901340
